Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
caster_fixture_3,7.12301839733698E-08,-0.00516635217076653,-1.66533453693773E-16,0,0,0,0.00415872768644128,4.30437009807997E-07,-1.54297935973795E-12,8.50656148732795E-23,4.17582939592616E-07,-1.94254123458878E-22,4.05173035674847E-07,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_fixture_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_fixture_3.STL,,wheel_assembly-9/scw_mount-2,Origin_caster_fixture_3_joint,Axis_caster_fixture_3_joint,caster_fixture_3_joint,fixed,0,0.01,0,0,0,0,caster_mount_3,0,0,0,,,,,,,,,,,,
s_wheel_3,-1.11022302462516E-16,3.46944695195361E-18,-2.22044604925031E-16,0,0,0,0.00544413332382601,3.38782826842285E-07,2.21364468932902E-39,-8.27148061822121E-23,3.38782826842285E-07,2.93862930614957E-39,5.01644674433887E-07,0,0,0,0,0,0,package://buggy_descripation/meshes/s_wheel_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/s_wheel_3.STL,,wheel_assembly-9/small_caster_Wheel-2,Origin_s_wheel_3,Axis_s_wheel_3,s_wheel_3,fixed,0,0.00100000000000001,0,0,0,0,caster_fixture_3,0,0,0,,,,,,,,,,,,
caster_mount_4,0,0.00290933863652861,-8.67361737988404E-19,0,0,0,0.0147090264035528,3.33808829900102E-06,3.03678508214026E-21,1.74273978789006E-21,1.37782026637017E-05,2.22283605025357E-22,1.16585927397857E-05,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_mount_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_mount_4.STL,,wheel_assembly-8/small_caster-1,Origin_caster_mount_4_joint,Axis_caster_mount_4_joint,caster_mount_4_joint,fixed,-0.0055632076772813,0.736913476433252,0.0234308441150687,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
caster_fixture_4,-7.12301840843921E-08,0.00616635217076653,-8.67361737988404E-19,0,0,0,0.00415872768644128,4.30437009807996E-07,-1.54297935980373E-12,-3.59722340639264E-23,4.17582939592616E-07,-3.37446893511555E-23,4.05173035674847E-07,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_fixture_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/caster_fixture_4.STL,,wheel_assembly-8/scw_mount-2,Origin_caster_fixture_4_joint,Axis_caster_fixture_4_joint,caster_fixture_4_joint,fixed,0,-0.011,0,0,0,0,caster_mount_4,0,0,0,,,,,,,,,,,,
s_wheel_4,0,-5.20417042793042E-18,-1.47451495458029E-17,0,0,0,0.00544413332382601,3.38782826842284E-07,2.21364468932901E-39,1.52289210013095E-23,3.38782826842285E-07,-2.93862930614957E-39,5.01644674433887E-07,0,0,0,0,0,0,package://buggy_descripation/meshes/s_wheel_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/s_wheel_4.STL,,wheel_assembly-8/small_caster_Wheel-2,Origin_s_wheel_4_joint,Axis_s_wheel_4_joint,s_wheel_4_joint,fixed,0,0,0,0,0,0,caster_fixture_4,0,0,0,,,,,,,,,,,,
wheel_mount_2,0,0.0130580434229897,0,0,0,0,0.116973628059289,8.00274171721299E-05,2.71810764533712E-20,-2.97009538694821E-20,0.000117236984799871,7.68830510492168E-21,7.22553292303753E-05,0,0,0,0,0,0,package://buggy_descripation/meshes/wheel_mount_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/wheel_mount_2.STL,,wheel mount_V2-2,Origin_wheel_mount_2_joint,Axis_wheel_mount_2_joint,wheel_mount_2_joint,fixed,0.0369367923227186,0.584413476433253,0.015594437807013,1.5707963267949,0,1.5707963267949,base_link,0,0,0,0,0,0,0,,,,,,,,
shaft_2,5.55111512312578E-17,-2.22044604925031E-16,0.00812286272198354,0,0,0,0.0215627079100336,2.86205172556415E-05,0,-1.67452959487115E-22,2.85964483774262E-05,-3.49467886174526E-21,7.1007841716063E-07,0,0,0,0,0,0,package://buggy_descripation/meshes/shaft_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/shaft_2.STL,,Shaft-2,Origin_shaft_2_joint,Axis_shaft_2_joint,shaft_2_joint,fixed,0,0.034,0,3.14159265358979,0,1.92689132353229,wheel_mount_2,0,0,0,,,,,,,,,,,,
wheel_2,0,6.93889390390723E-18,-0.015,0,0,0,0.230318011416302,0.000164461455026953,-1.13888008495933E-39,-1.51053771653851E-20,0.000164461455026953,3.10894231612504E-36,0.000294375208341461,0,0,0,0,0,0,package://buggy_descripation/meshes/wheel_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/wheel_2.STL,,wheels-2,Origin_wheel_2_joint,Axis_wheel_2_joint,wheel_2_joint,continuous,0,0,0.045,3.14159265358979,0,1.92689132353229,shaft_2,0,0,1,,,,,,,,,,,,
lidar_mount,7.41984232188464E-05,0.0791888905804564,0.140074197922588,0,0,0,0.0679495676763308,0.00012150234170699,-9.97496250477046E-08,-1.43847675741952E-07,0.000100174237721814,-9.9749287265195E-08,0.000121502343492964,0,0,0,0,0,0,package://buggy_descripation/meshes/lidar_mount.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/lidar_mount.STL,,lidar_mount-1,Origin_lidar_mount_joint,,lidar_mount_joint,fixed,0.13694,0.58441,0.015931,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
laser,-1.11022302462516E-16,0.0157959158923206,0.14,0,0,0,0.0887753797922069,2.71258824735809E-05,-8.26964416216142E-38,-4.52420345301141E-39,3.92865646363297E-05,1.58873234403123E-21,2.71258824735809E-05,0,0,0,0,0,0,package://buggy_descripation/meshes/laser.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://buggy_descripation/meshes/laser.STL,,laser-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,0,0.105,0,0,0,0,lidar_mount,0,0,0,,,,,,,,,,,,
